text,true_label,predicted_label
"y'all niggas ain't talking bout nothin.. not a thang, not a not a thang hoe",1,0
you trash tho rt  edgewood basketball court now!!!!,1,2
lol you're a cunt liar and i hope you drop dead k -),0,1
raised round real niccas no decoy,1,2
you a hoe if you crying because yo ass pregnant. it was all smiles while you was riding that dick bitch.,0,1
""" yall niggas b cuffing hoes cause yall aint never have bitches """,1,0
 bitch nigga,1,0
 hey now there's no need for foul language you kike,2,1
 ugly white bitch,1,0
they should have never gave a cracker a transmitter!!!!!!  will flip when he sees this. http //t.co/cycdbhbxkq,0,2
 by not being an unloyal retard,1,0
"rt  &; "" if you aint bout that murder game pussy nigga shut up ""&;2s2 gang &;&;&;&;&;",0,1
the only part of the awards that i liked was the dykes part of the cypher &amp; the old skool female mcs.,1,2
rolling on the floor laughing cry baby cry rainbow flag,0,2
 do you work today niglet?,0,1
the republican lt governor of missouri says he's sorry he called law anglo-american law. racist pig that he is...,2,0
"   nope, it's a term used to mock teabagger scum like all three of you. better luck next time, pal.",1,0
 meet me later for a reach around charlie crist,1,2
 i'm redneck crazy,2,0
 dishing texas trash talking pts with racist  maybe if gbush had apologize for all his sins he wouldn't be hiding,1,0
 your a stupid little cunt... i thought you couldn't get any lower.. but how dare you spit on people on your own fucking fans..,1,0
you wanna find hoes on here? just follow the chicks who reply with heart eyes under sex gifs,2,1
""" ii lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" bro white dudes have no chill.",1,0
stop whacking off in the shower queer boy! ,1,0
" betha yea, it looks fag-like",1,0
" red sea  say that shit to my face ""bruh"" you a bitch for gettin in a man u dont know business. handle yo own shit",0,1
"  chris stop your angry bird spitting n dana go hail ur racial tendicies, u didn't infor, carter rt n u never talk abt him",2,0
""" http //t.co/ejk4kr44xe"" a pissed lad past out. i would lick his dirty soles while he slept.",2,1
i see u jigga!!!! hillary swankin,2,0
 i don't fw that nigga he pussy,1,0
i am going to set a bomb bomb at your house,0,2
rt  free my niggah ,1,0
rt @ ichrisp &; ai swear me n zee da only niccas who aint got da update yet&;&lt;i'm right there wit cha bruh,1,2
' leo apolonio look this niggah did a drive by on the bike http //t.co/eniswlpnec,1,0
"niggas bugging if they think my bitch ain't gunna tell me something, ha",1,0
   nigga you done bumped yo head. li nings fire but kobe g elite golds are trash!? http //t.co/naadectqak,1,0
yes! daryl and michone are my niccas!rt  cofield  got it recorded! been waiting months for this season premiere!!!,1,2
"rt  stop flattering yourself, bitch. the only fan you have is on your ceiling.",0,1
 at least put a caption when stealing the pic fag lol,1,0
stop spoiling u fags,1,0
rt  daddyooi that bitch got a red cootchee rover and shit &;&;&;&;&; ,1,0
there are some retarded ass movies on netflix,1,0
rt  ratata   sav you are so nicee love you too twat! ),2,1
"' she love it when i talk to her crazy &;&; suck a niggah dick , with a whole lotta spit &; let it drip &; yea catch... http //t.co/iewohnqo7s",1,0
somebody tell these pussy niggas i got em,1,0
 monkey dong,1,2
 naw them boys trash we started coasting,1,2
lmao rt  tu madre rt  nacho doritos trash,1,2
 hit a bitch it's not like you can see the bruises,0,1
"rt  ""i love cripples! look at all these fucking cripples! goddamit i'm a people person!""  //t.co/xclasxpmlx",0,1
that nig was a g on that e6o i would have done the same thing,1,2
let's eat bacon in ramadan to provoke them face with tears of joy,0,2
   i think he's retarded or somethin http //t.co/e4ps6jkqcx,1,0
 i'm a lil nigga?? wait till you see nigga. you ain't ready. i'm from chicago boy i ain't no pussy from the burbs. just wait,1,0
@ charliea e7  landezo7 y'all's are all little punk ass bitches doe,1,0
"""he wanna be my nigga, but i'm just trinna be his savings account &;"" &;&;&;&; omg imma funny ass bitch man, but that's real shit &;",1,0
that bitch you met know what i mean she don't be the same bitch a million dollars later my nigga&;&;&; you feel me?&;,1,0
  prairie nigger,1,0
"rt @ clearlyspoken side bxtches gettin lit up outchea, y'all birds better tighten up.",1,2
rt  charlie sheen is the realest nigga alive http //t.co/pkonejiovh,1,0
"ya bitch aint bad nigga, you aint got no taste",1,0
 come over queer,1,2
"their  insult. even if it's self-deprecating. the first thing straights go to is faggot, queer, tranny, gay. even supposed ""allies"".",1,0
"rt  why black women say ""i'm gon get me a white man"" like white guys not dogging bitches too. y'all so dumb",1,0
&amp; these bitches bound to get hurt cause a lot of these niggas be playing,1,0
sharkeisha isn't dead you're all retarded lop,1,0
 i'm already a hot white bitch and hot latina get on my level,1,0
y'all think  deen would call my daughter a nigger? http //t.co/aioifhxdmt,1,0
i want a dyke clique,1,0
shoot out wit yo niccas you da type to throw da pistol &;,1,0
rt  i really need to take my rose colored glasses off though. i gotta stop thinking everybody does shit with good intentions&;,2,1
&; we raided nicki's wig closet for the summer! bad gals just wanna have fun! http //t.co/opanscimew&; this bitch has the a nerve smh,2,1
"your a good gravedigger, charlie brown  ",2,0
"this niggah said ""oh kiss me through the phone looking ass"" haha",1,0
 we don't send pussy ass cowards to old sparky,1,0
elizabeth is a.stupid hoe.,0,1
ib yr scrap from out here might get life in prison for murderin a norte nigga by el pollo loco off of story rd.&;,1,0
rt  yall females really be cool with cuffin hoe ass niggas &; nope. couldn't be me.,1,0
 jason no am real but you a pussy ass nigga so why would i give a fuck what u think lmao just stfu,1,0
 xoxo jk i'd fuck a dog before i fuck you fish pussy,0,1
" no, that nigga goin to work. quit tryin to kill a nigga's vibe you broke bitch",1,0
 coffee bitch i hit you with the dm and a nigga aint dm back,1,0
rt  boyden fucking james tried to tell me jawga boys sucked. i went ape shit dude   ,0,1
 damn you directtv blackout the yankee game. with a freaking walk off! you're killing me satellite douche.,2,1
 feels like it's been a year since i seen ya queer lolol,1,0
mitt romney hates big bird. fascist.,2,0
when a real niggah want you,1,0
 is gonna find himself a redneck girl one of these days &;&;,1,2
"rt  othershit i swear, a yung nigga use to wanna be a heartbreak kid rt @ kudabrazyy shawn micheals &amp; razor ramon both had bitches",1,0
rt  devante  now let's get onto you .. you slingy dingy ugly salamander lookin bitch i will not waist my time tweeti&;,1,0
these bitches should die,0,1
what a retard lol,1,0
"rt  "" me and ma niggah  in the func fucccccccked upppppp &;""i'm here on!!!",1,0
" bitch ass nigga, heres a new belt for you http //t.co/efxqnxeewq",1,0
  ......so.....white people selling  art? not cool? okay.   ,2,0
 yeah man all my niggas dipped to the cars and left and i was in a barn getting chased by the ghetto bird,1,0
hoes are always putting your self in a nigga situation y'all not going to be satisfied till you get your ass beat by a nigga.,1,0
"rt  ayy fag , you still having your party tonight ?!  &;&;&;",1,0
"jason admitted you're a stuck up bitch lol, which you are. think you're so much better than everycunt, naaaaa",0,1
rt  elvis my favorite episode of friends is the one where blacks mysteriously vanish and unemployed white people find affordable ho&;,2,0
  lol tell liv none of her usual redneck hillbilly places an none of ur black gangsta places either,1,0
rt  staxx &; i day down eg more days with out pot &;your a faggot,1,0
"that's okay minivan, you can run that red light, i'm sure your nail appointment is more important than my life. ",1,2
" heart ok u fat precious lookin ass bitch, u big fat back at the barnyard lookin ass bitch. i can fix my grammar but u still fat",0,1
rt  @ whiteponyjr ugly bitch has blood on her hands for her whore ways,1,0
rt  i really hate attention seeking hoes. hope they all die,0,1
when see u an oldhead rocking a bruce lee top with a durag on in the park randomly giving a group of street niggas a ghetto karate class,1,0
giving you that trailer park trash.     http //t.co/sbbmhaphrd,0,2
 trill   says the scrawny nigger.,1,0
people who chose the country over the city are miserable trash. they deserve neither respect nor consideration. they are less than scum.,2,0
""" &; thunduh i legit watched it for about eo or 4o seconds &;&;so did i wtf"" prob cause were retarded smh",1,0
that nigga talkin like a hoe tell that bitch nigga speak up,1,0
still trash http //t.co/xoghhfoimn,1,2
rt  the reason you called jesus a monkey is because you knew he was not your color ,0,2
"  ""us english"" it's our go learn grammar u dick sucking hoe",1,0
the hoes are for everybody my nigga!,1,0
"rt  just because you ""not official"" doesnt mean you can act like complete trash and be free from acting like a decent human being",2,0
 ur a cunt nd a wish a was a faggot,1,0
 munster ha!!!! the shyt niggas tell hoes 2 ho wanna be more...,1,0
   ,1,0
 cause ima blindside the shit outta you niggah!,1,0
mickeyblowsyourmind who wants to be a skype group with a bunch of offensive new york city queer folk me!... http //t.co/bpgdvsbqd2,1,0
tupac could fuck any bitch in the world in igg6 and niggas on here crying about a pic he took for bitches,1,0
 yea that always looks nice.all the monkey faced women a see around santa monica. looks better than natural beauty. 'tbedumb,1,2
" says the old man ( i hope you can survive another io years, you silly jigga boo monkey",0,2
you're a hoe ass faggot bitch cunt nigga,1,0
f,1,0
 yay im a whitey e,2,0
fuk wit a real nicca,0,1
rt  lmao okay now let&;s address pepsi pussy rt  real niggas know http //t.co/ipedbpbjms,1,0
  greens them hoes are clean!,2,1
"  os it's funny how this page quoted my tweet about the term ""camel jockey"" bc i am a fucking arab you dumbass &;",1,0
y'all can have skylar diggins. looks like a tranny to me,1,2
ie% shy 6s% bitch 22% homosexual,1,0
the steelers new uniforms look like homosexual bumblebees. ?,1,2
' i will never date a female with another niggah name on her lol . wtf .,1,0
""" &;   hoes austin&; teach us austin.""i teach u how to get curved? that's all i know",2,1
this movie is actually good cuz its so retarded,2,0
my eyes feel so chink eyed,0,2
  jessica i'm not afraid to slit your throat tomorrow,1,2
my doctor tonight is such a miserable cunt. even my nurse is pissed off. she's been here since 7pm and hasn't come to see me once.,0,1
rt  fuuck jalens a slow bitch!,0,1
"this amish bitch was rockin gucci and her man was smokin a e-cig. smh fake ass ""amish"" ass bish!",1,0
damn those shiner rock those bud light platinum and that ciroc,2,1
""" realist sam  yea, i'm on my ipad. i don't work this friday. let's ball this faggot up ""i work 2-s",1,0
&;&; we snap chatted for one night lol. but you're cute. snapchat me back nig,2,0
""" &;&;&; rt  ayden bitches be wanting to act like niggas so bad &;&;&; that shit aint cuteeeee"" but niggas act like bitches..",1,0
 &; yea ion do brussel sprouts .. i barely do cordon bleu but i wanted to try something dif .. i get tired of nigger foods,1,0
 i know right so much retard,1,0
 yeah and you're gonna play with retards who wanna do drugs all day but &;&;&;,2,0
" don't care got my  everywhere, i'm a  i'm a , i'm totally full of&; http //t.co/qiabbqgmwh",1,2
this country is full of lizard face vomiting,2,0
rt  niggas passing up good girls for hoes.,1,0
i red heart you,2,0
sesh with my n-words say it like a white kid yes my kush is betta than yours u are a whore so please kill yo self fool bitch ass,1,0
   i would have loved to watch newman bitch slap johnson i'd pay to see that,1,2
rt  you hoes need to stop dressing y'all kids as migos and rappers that y'all fucked. lil nigga just wanted to be a power ran&;,0,1
what a dirty girl! haha &;&;&;&;    http //t.co/7yaydate,1,2
 go to sleep you fag!,1,0
""" we dont trust these niggas all these bitches """,1,0
  @ teeie billy goat hillbillies you sucking &amp; fucking. you disgraceful brazzen faced unabashed pig,1,0
rt  you got niggas &amp; i got bitches &;,1,0
stay home and suck dicks woman,0,1
rt  i'm so sick head colds suuuck. and on top of that  had to challange me to a beer chug &;&;,2,0
"hollywood, if you really want to break my heart make a movie about a handsome retarded man who is good at flash and has a mean girlfriend.",1,0
yee boy my yung nicca told me dat waxx,2,1
 some white bitch on facebook lol,1,0
rt  tell your bitch that i'm that nigga now,1,0
 ..its all about you and white conservative teabaggers. you all make the world go round. please be our rulers.....stockboy,2,0
"don't really care if a fighters black, white, yellow or dalmatian. if he is good he is good.",2,0
burritos are trash,2,0
"rt @ lilrambo &; i don't be fucking with nobody , cause most of these bitches got fake in they blood . &;&;and niggas",1,0
rt  ace i'm a get money nigga so da hoes love me,0,1
 man make me white trash cousin fucker,1,0
rt  so i see no ones participating in the twitter purge  ,1,2
 don't let idiots that can't even spell retarded get you down.,1,0
you are such a jerk,0,1
" your disgusting, you should be banned from talking about hiphop, retards like you belong in the 4o's with your retarded ass logic",1,0
 i've decided that  are retarded. ,1,0
"' she herd i was a dope boy , i herd she was a gold digger &; , all i know is she a real bitch , so i fuck her like a real niggah .",1,0
rt   crank that shitty pussy yuuuuuuuuuaaaaaaa &;&;&;&;&;&;&;&;,1,0
on upenn campus all the black chicks here are trash but they're gonna be paid,0,1
 this ho korina is craycray.,1,2
thanksgiving with some   ignore the chink eyes http //t.co/uyvc2qdg,1,2
"rt  lmfao oh nah she keep it three hunna""  twitpic a selfie if u a ho http //t.co/j4runfzrtx""",2,1
" larue i is colored, latino and some jewish. when i move in, i don't ruin the neighborhood, i wipe it out!",2,0
the thing about working with black people. these bitches never on fucking time then wanna complain about a short check. bitch die.today. now,0,1
"rt   if her hair is hers . she will hit you with a ""bitch i bought it , so it's mine"" .",0,1
"rt  it's ""comfortable"" but niccas like me say ""com-tha-ble""...smh",0,2
rt  @ whiteponyjr   mariners i see you guys kicked this long haired faggot out your lil video game team,1,0
"viola, auntie...you can't call white trash women white trash like this during primetime! ",2,0
@ tiffnasty bitches will great valuable pussy always make you use protection. too many nasty dick niggas out here,1,0
"basically, , , right wing reactionaries, drudgies, teabaggers, libertaritards, all hate our education system and teachers.",2,0
i'll let u clam on top and let dat nookie pop i'm in dat cookie jar i ain't no rookie girllll,2,1
rt  this was the most racist bitch in the world.. http //t.co/4lomrpditf,1,0
 ryan fag rhymes with gag.,1,0
fat ass hoe holding up the machine,0,1
rt  i bet there are hella rednecks who just got super pissed at that coke commercial,1,0
",,,,,, |  | blonde tranny ass fucked http //t.co/boarxoqjxz",1,0
happy birthday my nigguh  gotnohoes,1,0
 i popped a molly every day last year ,1,2
tell that hating ass niggah to shut the fuck up,1,0
 i was fat as hell and was a band faggot. thank god i played sports after 6th grade and didnt stay in band,1,0
 man fuck this bitch http //t.co/oixhg4jtvb,1,0
cant fuck around wit young niggas cause they be acting like hoes,1,0
 happy birthday queer,0,2
"these bitches gotta realize that ""their nigga"" wants me &; if he doesn't now he did several occasions before &;",1,0
 i'm surprised you could read it with slits for eyes,0,2
single colored man looking fo a single white woman. fat ok. i'm nigga,1,0
senator  is an anchor baby! go back from where you came.   ,0,2
on some field nigger shit,1,0
"fuck ray rice ,someone crack that bitch",0,1
"since cats lick themselves all the time, they should be great at eattin pussy",1,2
 rg4 bitch whatever nigga u were to scared to play,1,0
",,,,,, |  | blonde tranny whore gets rammed and facialized http //t.co/kdgnuetmwz",1,0
rt  charles manson's fiancee will have a difficult time planning their honeymoon. charlie can't surf.,1,2
"rt  palacios &; ""bitch ass nigga square up"" &;&; http //t.co/uhkkkwsrdl&; ",1,0
 moderator wants to bitch slap romney so hard,1,2
""" holloway check out our i2th man. "" even with all those faggot ny fans in the stands",1,0
@ spenceyy  not scanger,2,1
rt  quit it with that you got hoes shit you ain't got a got damn thanggg witcha ugly ass !!!!!!!,1,0
 thirst shin's a faggot. i'm glad your chipped him.,1,0
first thing i do when i hit the lotto is buying  two fat bitches and watching her eat both in one sitting,0,1
rt @ ashlaaay why does everybody drive like retards when it rains lol,1,0
 to my  niccas! ,1,2
rt   breedxo  this niggah was tripping over everybody,1,0
" still calling  a 'community organizer' re . well, she is still  as well. so what?",1,2
 fag,1,0
" damn took this dumb spic nearly 2 days to respond, wuz really good tho beaner?",0,2
 go eat bear shit you fuckin yokel,1,0
" state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much .",2,0
rt  i asked  what's the definition of a preppy white girl and this niggah said starbucks,1,0
"  awww, dis sellout nigguh still talking.",1,0
these niggas rather love these hoes then get money smh what the fuck wrong with these niggas,1,0
bitch you're the ugliest cunt ever.,0,1
the  of my tna watching is so bad i can't even mock-live tweet it,1,2
 rashae i'd like to rape the bitch that posted that.,0,1
rt  pooted i wanna watch a nigger made before christmas,1,0
rt @ jeff hank     studd fuck no id be gettin swole in there like everyday nigger,1,0
i despise chinese steaming bowl,2,0
the heat will make you wanna put hands on a niggah &;&;&;&;,1,0
better to have covid than be rainbow flag,0,2
"' i told this niggah maya angelo died.... this niggah gon ask me "" is that the red ninja turtle ? &;&;&; wtf .",1,0
rt  eloquently stated. &; god i hate tom coughlin ol ass fuckboy ass geriatric ass pussy ass bitch&;,1,0
 those god damn chinks. http //t.co/bi6fgpsvgo,0,1
 nicca u read what i typed u aint slo by a long shot dont play dumb now litebrite lol,1,0
rt @ al woww. now niggas can't hit u bitches line and ask what u doin nomo.,1,0
 did you smile like a retard when you were a kid? it took me till like sth grade before i learned how to naturally smile,1,0
 7 eevee fake niggah! they fake!,1,0
  that kids a fag,1,0
 pau pissed me off like boozer pissed off bulls fan... 2 soft faggots,1,0
this nigga magic johnson got a grade a faggot for a son &;&;.. he had to have done some terrible shit growin up lol..,1,0
 haha i. i would go for the s 2. those fag colors are reserved for ,1,0
a squad of dyke cholas fear nobody. they worse than the cartel,2,0
 nyrblog he's am has no clue ,1,2
"' cause these hoes ain't loyal ! these niggas ain't either &; , when it go down you callin for hitters that you... http //t.co/wmruwtwuje",1,0
rt @ bettyboo you better pray i don't send your nudes out bitch,0,1
   luioe @ playcrazy  2much   dalifestyle nigga be safe hoe,1,0
"neither have i -/ rt  i just...why...ok. rt  ""i've never had a nigger cock""  //t.co/jfgogvjcbl",1,0
"rt  &; ""anything below a a+ and we disown you ling ling"" http //t.co/miqiwk4xzg&; ",2,0
i hate black hot beverage,2,0
 makepeace i donno who demz iz? but ima bout to get white gurll ghetto on there asses when i find out....,1,0
love red heart all man wearing turban medium-dark skin tone,2,0
 dyke ron&;&;&;,1,0
hoes get beat 2... n if any nigga knw me dey ah tell u i stay wit ah pistol n always ready to squeeze,1,0
rt  gamboa hoes will be hoes .,0,1
 dreammn  seriously.. after that first conversation on your status he fb messaged me calling me a fag lololol,1,0
shout out to everyone that puts up with my retarded ass. i appreciate it.,1,0
 king pats owner is a kike.,0,2
rt  &; rappers http //t.co/zficqysedy&; i want to be filled with hot nigger seed,1,0
you are beyond retarded,1,0
 lol bitch nigga ima get my gay homies on you,1,0
when ah rich nigga want ur bitch it's nothing u can do... but hope she think about u on dem shopping sprees...,1,0
""" ""i don't want to have sex with my gf because i feel like i'm using her.."" - anonymous"" whata faggot",1,0
sometime i wish i wasn't colored,1,2
 dese bitches n my shot nigga,1,0
" @ teeie  at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. but u luv them white devils",0,1
  see dis what happens when a colored man move into  soil&;'s neighborhood. he ain't been sick fo io days,1,2
  spatula who invited this fag?,1,0
rt  if u acted like a hoe after we broke up i'm not wrong for thinking u were a hoe all along,2,1
rt  you a faggot if you use uber because real niggas drive drunk,1,0
  i'm still gonna smack the fuck out them. they trying to act hard over twitter. haha pussy ass niggas,1,0
shoot that nigga &amp; his shorty bitch &;&;,1,0
you bitches that entertain all the attention you get from these niggas are the worst kind of hoes there is,1,0
rt  i can see moose rockin himself back n forth in a corner of n empty room with his faggot hair all in his face sayin 2 himse&;,1,0
 bitch i back shit up fuck nigga,1,0
 tweet but don't text back ok fag,1,0
why niggas put heart eyes under everybody pictures? &; then it be them poo la la hoes.,1,0
bald head bitches think it's their time to prosper !,0,1
looking like a hillbilly and not matching is what i do best goodnight losers http //t.co/caghblkaxq,0,2
" yaaaasssss it is. you are buhlowin' up my timeline, negro. &;",1,2
the lies on this here twitter &; dtf you niggas wouldn't know grade a pussy even if it slapped you cross the face !&;,1,0
 wright  boy42o  chulo do it i fucking dare you faggot,1,0
   white people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,2,0
praying s times a day must leave you no room for a sex life rolling on the floor laughing,0,1
rt  andrew this bitch has a death grip on this niggas balls. smh http //t.co/uh6osapcmw,1,0
"rt  the racists are  and its crew of anchors. not ""right wing "" folks.  mocks mixed gop kids. http //t.co&;",2,0
 bu i do. i do hate the playa. and the yankees. if i hate the yankees for their payroll i have to hate the dodgers.,2,0
 nigra in da back,1,0
""" twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, fox, etc are all keeping quiet.",1,0
these bitches love me. these niggas copy,1,0
   lax gun laws? ur retarded. there's murder there bcuz no one can defend themselves. only crooks have guns there,2,0
  haha you playin nigga i fuck bitches make money and smoke that straight og kush,1,0
"to me niggas cheat on they bad bitches bc they think they can get more bad bitches, that one girl will give em a big ass ego",1,0
rt  if you're gonna smoke weed then do you but alcohol is just stupid you faggots are getting more stupid drinking it,1,0
"""uh-uh, what do we have? your empty heart, my empty bottle, a yellow cab.. that you would like to catch cuz yo latest ex made u mad..",1,2
this nigguh really tried to fight me on the bus over a grape kool aid jammer &;&;&;,1,2
rt  all babies are born hipsters because they come out of the hospital in beanies.,1,2
how many of u hoes bad ass little kids dont their medication and cut up in school every week?,1,0
  y'all both trash,1,2
"twice divorced teabagger florida attorney general says marriage is reserved for 'stable, enduring family units' http //t.co/wafgbeyygm",2,0
donkey son of a bitch mother fucker,1,0
 my knee won't let me wander around much so i just make a few trips and look at the fat girls-- redneck porn--wal-mart,1,2
  u both sorry to give racist  a platform w his trash language dana ur intvw was below kindergarten level,2,0
 fuck your store bitch,0,1
 shit ill pay the premium to get away from these anything ass hoes,0,1
 2 nah you're a nigger,1,0
   i was nice to the dumb bitch then she puts her nose all up in my business eat shit white trash hoe,1,0
"trash rt  easily the ""real gs move n silence like lasagna"" line rt  rt wit a wayne line that went over niggas heads",1,0
you a shoulda coulda woulda ass niggah ima wish a niggah would ona hood ass niggah,1,0
