text,true_label,predicted_label
""" io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",1,2
"try being respectful, instead of acting like a fucking retard.",1,0
"and because it sounds like there is no prenup, he's gonna cash in, not her. he apparently has ghetto credit. 'magine that?!",1,2
"' o m g you like stop controllin me , i'm like bitch fuck you thought ? she like niggah fuck you mean !",1,0
"rt ""you are trash"" me",0,2
when i step off in da club niggas give me daps and hugs hoes swinging dey eye ik one thing right they wanna fuck,1,0
""" "" that nigga was eating that hoe lol"" hell yea lol john paul"" nigga said john paul..",1,0
sorry about the spam but i dare you to search nigger on twitter and not laugh. impossible.,1,0
but niggas is bitches tho rt boy niggaz b so bitch made u cud kiss em n da mouth!!,1,0
you niggers cheat on ya gf's? smh....,1,0
eagles are fucking cunts,1,0
bill smith dds mtv odb lgbtq mma nfl aflcio bitch pick one. fucking hate you. i know you proud but shit.,0,1
? are you a race traitor or just a dumbass?,1,0
"' cause these hoes ain't loyal ! these niggas ain't either &; , when it go down you callin for hitters that you...",1,0
some cunt go get me amber leaf and papers? cani be arsed walking to nisa,1,0
"rt i can do somethin good but im always gon be a ""wetback"" coo.. &;",0,2
this shit sooooooooooooo trash.,1,2
garbage rappers can't learn. it's like teaching advanced algebra to a retard.,1,0
you have your nips pierced too ?! &;&;&;,1,0
smh queer,0,2
what the hell are we doing with pussy rules that soldiers don't carry weapons 24/7 on base? they are trained. liberal crap &amp; people die.,1,0
"you're welcome, i miss you too nig nog",1,0
fucking stupid crackers,1,0
you still fuckin with a sorry ass nigga that makes you a sorry ass bitch,1,0
"this, this, this. pack it up and head to nyc, please. enjoy being called a hick for a few years, come home humbled.",2,0
dead babies piled up like trash at a dump something to be proud of,1,2
niggas w/ bitch mentalities is a no go .,1,0
sorry all my fellow negros,2,0
dude fuck you faggot it's friday or no go bitch i set the standards you make or break them bitch,1,0
rt imma get my crew on dis fuckin fag real talk nigga up,1,0
i don't think they believe in their communities ability to function w/out whitey. they choose to be hustled by big gov't...,2,0
sean kingston look like a facebook dyke,1,0
these bitches love me. these niggas copy,1,0
your welcome my nig,1,0
yes good shapely eurotrash manbooty,1,2
fuck the yankees,1,0
rt free wop,1,2
u coons watching love and hip hop ain't you,1,0
i know righttt rt i hate fat loud bitches,0,1
sex should be a reward in a relationship. nigga has never done anything for you whatsoever yet you still give him the pussy...smh,1,0
grow a pair pussy,1,2
"careful, they might try to queer ya!",1,2
"black girls are so funny, why can't you talk literate? it's pathetic, dick riding die hard fan rofl, you disgust me, retard.",1,0
who's ready for nigger spam?,1,0
jacobs just like stfu bitch,1,0
lmao let these hoes be hoes ain't no savin nem,0,1
my dad's a fuckin dick bitch i made your ass supper you're not allowed to come home mad,1,0
"you don't know me, but i'm your bra. rt doobie brothers member michael mcdonald says he'll ""come out as a tranny""",1,2
pay your taxes teabaggers,2,0
starks being a faggot,1,0
is trending?! why cus french montana's bitch ass?? you fucks that think selling drugs is cool are the lamest posers!!,1,0
i honesty think the internet is just full of retards.,1,0
its retarded,0,2
"pm is u use any of the words i use (ex. sweg,pm,yid,nid) we're dating",2,0
rolling on the floor laughing i don't know rainbow flag have lives,0,2
i ignore birds,2,1
fag,1,0
man get yo bitch ass out my mf mentions man with all tht bs u trippin,1,0
"ya bitch aint bad nigga, u aint got no taste",1,0
rt i saw a great chimpout 2 summers ago. a middle aged salvadoran and his is yr old son got wasted by 6 beaners at the metlife &;,0,2
that kids a fag,1,0
"i, for one, welcome our new eastern panhandle overlords, and hope they do a better job than the yokels who got us here in the first place.",2,0
"rt niggas expect you to pull this out when they ask ""where the hoes at""",1,0
on upenn campus all the black chicks here are trash but they're gonna be paid,0,1
rt i don't care tho cracker,0,2
yo fag rojas,1,0
u look like a dyke in ur pic lol,1,0
"true! i miss yall man, yall are my brothers. is mikey starting? and what about the chink? lmfao",0,2
is da colored folk allowed to join? cuz in my hood folk worried about da watermelon not growin and da chicken too small,1,2
faggot but you sent me hella nudes. hmmmm,1,0
"gotta tip for the monogamous niggas, yo bitch fuckin' anonymous nigga.",1,0
my name is ollie bitch,1,2
dat dawg live betta den most colored folk in my hood,1,2
real niggas let real bitches come &;,1,0
""" "" "" "" swears i'm man"" easily"" easily"" behind austin"" nip?",2,1
"smh you dreamed i was a faggot? wow rt my dream lmfao start from the bottom , up .",1,0
i show do like the jeffersons. dat george make me wanna open up a dry cleaning stow and call all da white folk honkey,2,0
single colored man looking fo a single white woman. fat ok. i'm nigga,1,0
wait a min you nigga bitch! lol rt i don't give a damn if it (cont),1,0
your eggplant dick is short,0,1
yeah man. he even scare me and i is a nigger,1,0
man fuck this bitch,1,0
hick yes,2,1
this is how you know lhs is ghetto.,1,2
that's lil nig &;,1,2
lmaooo niggas ain't but hoes is i think i'm winning,1,0
rt happy birthday my little cotton picker,0,2
just more babel. these are the same fucks that masturbated to - they just hate it when gays r successful.,1,0
what's worse than jury duty is the confirmation you get while serving that the general public is retarded.,1,0
did you smile like a retard when you were a kid? it took me till like sth grade before i learned how to naturally smile,1,0
knock em down wit sum chunky &;&;,2,1
u that nigga rt i have no idea how random jiggas be knowing my name at work smh.,1,0
have you looked yourself? this is funny. this is like obama saying he is good for the economy. hipster faggot. funny though,1,0
"all of yall stfu, your all pussies and won't do shit",1,0
""" faggot bitch""",1,0
"should be kissing ass for his fight with god, otherwise we might all be fucking dead&gt;",1,0
"like...charlie chan-style? (never saw that, either.) hmm...makes me think of the ""cockneys"" in the killzone series.",2,0
lol it's gonna be so fun got two niglets on the way,1,0
trash &; black people only play r&amp;b &amp; hip hop at their parties..play some dubstep and house..yall coons need to expand&;,1,0
"perhaps ezra miller is the first crack toward changing that, regardless of whether he identifies as queer over gay.",2,0
finished the essay and the quiz bitch,1,2
ᖴᑌᑕk you,0,2
"there's dudes on twitter who have no respect for their dick.you know,the mirror selfie niggaz,the nude droppers,dick avis,pussy eating avis?",1,0
""" kobe stay talking trash. but let's not forget i meant to do this one. smh.",1,2
"""she said wigga man you rich...take the du-rag off""",1,0
tell me how that sounds stupid? you were pretending to be a female and talking to a guy. you a faggot,1,0
rt bitch nigga qualities is all you can provide. &;,1,0
this nigga showed me that sad ass dog my girl pit would look at that hoe and say nigga gone,1,0
rt u a nurse &;rt you a clown boy you music is trash.... i dare you say something back i bury your bit&;,1,2
are you serious right now? hypocritical and double standards? fuck outta my face with that trash,1,0
rt you guys are all the best love you nig nogs,1,0
rt we don't luv deez hoes&;,2,1
rt i hate hoe ass people.,0,1
rt &;&;rt lol rt &;&; rt just so u faggots know!,1,0
this pic is trash. d!ck is dry af.,1,2
' waaaaittt niggah holllll'up &; these niggahs come to town start wife'n my old sluts &;&;&;&;&; .,1,0
stay home then bitch fuck u,0,1
no one asked bitch,1,2
yup! and now we pickin you white bitches bare like a chicken leg,1,0
but a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex.,1,0
"all them ""model"" hoes follow a nigga...""blow up""...an then hit the infamous imma only follow 2s people wave...",1,0
"since cats lick themselves all the time, they should be great at eattin pussy",1,2
i told u ugly niggas get bitches young i promise u!! work ya magic lol,1,0
whops yardie. go smoke a blunt and tell a nigga to come through. you are stressed,1,0
the jews gon be laughin at a nigga on judgement day when they see how ugly this bitch was,1,0
spitted sprite on you? niggah with yo smart ass mouth you deserved it. &amp; well stfu! lol,1,0
"jamaica populated with island hillbillies. even linguistics are kind of the same, if you sub the accent. olde english derivatives.",2,0
"how is it fucked up, you fucking retard? condemning ray rice, yet supporting chris brown, who's a women abuser. that's logical?",1,0
let's eat bacon in ramadan to provoke them face with tears of joy,0,2
rt i use the word cunt very loosely,1,0
just a casual ghetto family twerk session,1,2
"who? ok, right-wing teabaggers, gun nuts (like harris), hell, even fucking cops.",1,0
whatchu doin today nig?,1,0
school ghetto as fuck,1,0
""" i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1,0
lol damn. just thought i'd let you know. my dad was going super saiyan ape shit.,1,2
u really got these coons out here dreaming,1,0
wetback &;&;&;&;&;&;,0,2
rt is nick jonas a hoe for squeezing his dick? is nick jonas gonna have leaked nudes? is nick jonas less of a role model?,1,0
the irish in are all white trash.,1,0
the two ringless fags rt barkley &amp; reggie were talking nonsense the entire game,2,0
golly wompers and dad gum son you lyin cheatin scoundrels fucking did it! man up and own it ya chicken shit pussy republican,1,0
tiny out here looking like an albino red nose pitbull from a dope boy's trap house.,2,0
says the scrawny nigger.,1,0
"'eff it, let's go after the cripple&; you have to see wendy davis' new attack ad [video]",2,0
bitch im real nigga the fuck u mean weak ass nigga i do me i dont pretend to be someone im not so u can shut that shit up fuk boy,1,0
""" faggot read my tweets after dat k"" it wasn't even funny lol",1,0
&;&; my fault it sound like it fucc nicca,2,0
lived there and can attest to that. trust them over any muzzie nation by a million light years,2,0
rt rt my chest rt kobe getting docked iook for calling ref a faggot rt what do y'all co&;,1,0
dyke bitches kill me thinkin they really got hoes lol,0,1
shut up faggot,1,0
can we plz go to starbucks and do that. ebola sounds like a really ghetto hood name tbh.,1,2
rt i am taking you serious.... kik me back nigger,1,0
rt !,0,2
historical point cracker was a term for the irish settling in the woods of the mid-atlantic. hardly offensive.,2,0
sorry i eat pussy,1,2
&;&;nice avi lil nigger,1,0
rt ching chong,0,2
shown* a tiny kitten you dumb fucking cunt,1,0
"you old bitter,salty ass niccas make my flesh crawl off my bones! such bitches you are!",0,1
hoes are always putting your self in a nigga situation y'all not going to be satisfied till you get your ass beat by a nigga.,1,0
seeing ugly bitches get pregnant let's me know that nigga swill fuck anything with a pussy. alcohol is no longer the excuse. you was pressed,0,1
nigga u just called me a bitch last time i check im a fucking nigga get out there and ill show u what a real fight like,1,0
damn hoe.. you so ugly even hello kitty said goodbye.,0,1
i like black people man dark skin tone bald,2,0
rt dat shit trash &; a shirt inspired by 's emoji tattoo. pre-order now,1,2
i'm jus a trill nicca mane,2,1
"""don't know no ugly bitches! don't know no broke niggas!""--",1,0
white trash bash &;&;,1,2
ima groovy type nigguh,1,0
that's a legal tackle faggot rt seriously?,1,0
"rt thanks for being black, in darth, and now i7 years old you kinky hentai son of a bitch",1,0
ran here from my house too... i'm kinda retarded. lol,1,2
""" if yo girl cant have homeboys you a ol weak bitch ass nigga!""",1,0
so much white trash at this demo derby &;&; &;&;,1,2
i eat dat chicken out your love box baby. lovin a white woman while eatin chicken. a colored mans dream,2,0
fuck your chicken sandwich ho!!!,1,0
rt damn my niggah side bitch got him making her a sandwich &;&;&;,1,0
"rather be an ""ultra fag"" than get an ib on my act and go to fgcu",1,0
""" need these sox fuck yeah. i love a kinky scally lad w/ rank sox and sneaks",1,0
indeed i did nigga is too over used so i use nigger,1,0
"rt true i need to sleep to make them gainz bruh!! so all the hoes stay mirin ;p alright, later&;",0,1
ok. i guess you ain't colored so so don't know da channels?,1,2
up too early the damn birds are still chirping smh.,1,2
"when niggas wanna cheat they start an argument with their girl... ""bitch i told you i hate ketchup on my hotdogs, fuck this im out""",1,0
you a dike cause yo man a pussy.,1,0
"trash.. see how i capitalized the ""t"" in trash.. rt wtf is this oreo song by r kelly ? &; tf",1,2
rt i never had a nigga taken from me &;&; . in order to take him from me he must not return &;&;&; . keep that in mind bitch &;,1,0
&;&;&; fucc nicca,1,0
southwest airlines is like driving in a mini van with your white trash cousins who love to huff paint thinner before before working.,0,2
screaming money over hoes nigga you ain't fuck shit,1,0
two years strong with this honkie &;&;,1,2
dont call me a nigguh unless u call me my nigguh,1,0
not over no twitter shit. plus youre a female. you letting a dumb sloppy body ignorant bitch speak for iek people,1,0
"rt niggaaaaaa, why these bitches trip so hard over a nigga? when will they realize they're gonna grow up &amp; regret the fool?",1,0
lmao i s2g having roots with yellow/white hair makes it look so dirty i'm &;,2,0
rt swag fags are now hibernating because great america and christmas in the park are both closed. &;,1,0
ima call his retarded ass,1,0
that's why i could always call smurf for anything my niggah always there even when im beefing w my baby,1,0
shut up faggot,1,0
rt why would u let ur girl even go to a party without u thats retarded lol u must want to get cheated on,2,0
"thats trash, its ot?",1,2
it's a nice way of callin y'all honkies,0,2
ronnie radke's a fucking fag. fronz owns his ass.,1,0
rt &; jessica i'm not afraid to slit your throat tomorrow&; a&;,0,2
tired of these butthurt commercials. ya phones trash b.. we don't want em,1,2
"those ""tell me about yourself "" lookin ass niggas ... ima crazy bitch that's all you need to know.",1,0
i don't know what you been told but i love them project hoes,2,1
that nigguh sucks,1,0
rt lmao okay now let&;s address pepsi pussy rt real niggas know,1,0
wut spook me even more is its gon be dark when nigga drive outta hea..... im sick already,1,0
"send all the fucking muzzies home, now doj come and get me motherfuckers",1,0
rt my favorite episode of friends is the one where blacks mysteriously vanish and unemployed white people find affordable ho&;,2,0
to my exit 47 niccas!,1,2
"what an unfortunate clothing choice... hoes with the crooked belly ring. completes the ""dumb trash"" motif perfectly",1,2
don't send me those boxes we droided up on da mile my nigga. got da dro droid na drum fo a pussy boy yeer me?,1,0
wake up american sheeple nd stop allowing these pussy azz politicians who never bust a gun in they&;,1,0
so my dumb ass screams fuck the redskins in this big ass echo filled parking garage,1,0
i tried one of them pom pomegranate juices n i swear it tasted like flavored piss.........dont ask lol,1,2
"u know how hispanics be takin all the jobs these niggers won't? yeah, somethin like a hispanic",1,0
""" we dont trust these niggas all these bitches """,1,0
cunt,1,0
granted cracker isn't that bad because when you say that to a white person your saying their one of the slave,1,0
&; tea bag a bitch.&; pahahaha,0,1
she gonna pop that pussy for a real niggaa,1,0
i red heart you,2,0
"faux noise pundits don't like duck molester, pro-slavery racist, darling phil robertson either",0,2
colored contacts,2,0
hit a bitch it's not like you can see the bruises,0,1
skinny young nigga n im finer than my bitch,1,0
"one charlotte store, but of course they are faggots",1,0
these hoes don't like a nigga they love my money these niggas don't like a nigga they all want some'n!,1,0
rt niggas be out here loving all they hoes...that's a no no.,1,0
rt tell your bitch that i'm that nigga now,1,0
". wow, ""impeachment."" look at you using your vocab workshop words. guess we were only half wrong about you being a dumb cunt.",1,0
y'all niccas spark up,1,2
dat colored guy be braisin,1,0
rt i'm pretty sure just called that dude a faggot,1,0
shit trash,1,0
"state like mississippi opposed to minimum wage, child labor laws, unions, is pro-scab, sweatshop work - pretty much .",2,0
""" and smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1,0
fuk wit a real nicca,0,1
ankles &;&;&; &; hood bitches with long weave is the worst thing ever&; weave that be touching their ashy ankles &;&;,0,1
lmaooo hell naw nigga you must was playing school of blind and cripple,1,0
"lmao, your just a dumb hoe that budden made popular, please stop, your irrelevant and no one cares about you slut.",1,0
"hey, that guy has the same first name that i do! what a fag.",1,0
"i remember his nephew lucas crying and dan saying ""quit being such a pussy and grow a pair"" or something. &;&; dans so funny.",0,1
why do you guys cry and whine whenever someone says faggot? it's ridiculous.,1,0
2 beer queer,0,2
is there a full moon out? out in full force and i'm not talking about muzzies or liberals&;&; and i'm in the mood to oblige.,0,2
rt this niggah was tripping over everybody,1,0
since bitches love callin me by my ex girlfriends names so much ima start callin them the names of niggas they fucked,1,0
"rt &; i sang for you, you nazi&; *beaner",1,2
linda you just a yourself rn you retard^^,1,0
i see u jigga!!!! hillary swankin,2,0
woman busting her ass to please you and you treat her like shit cuz you a immature ass lil boy. yeah fuck all you hoe ass niggas.,1,0
"rt if a nigga can tell hoes he's taken , he's a real nigga .",1,0
i got my eyes on this red bone,2,1
cair publishes a hit list for jihadis via if you are a red blooded you may be on the list..,2,0
"rt pissed in shower, now checking for yellow legs.",1,2
"vince, what is the general feeling of the natives that you know in regards to the term ""redskins""? offensive to them or not?",1,2
bitches be like i'm mixed wit italian chinese nd african american i be like bitch just cuz you ate ur&;,0,1
rt yall females really be cool with cuffin hoe ass niggas &; nope. couldn't be me.,1,0
rt you a faggot if you use uber because real niggas drive drunk,1,0
swag killed the bitch like columbine,1,0
"i say it all the time same with fag and queer it's all about the context i suppose, some people are just looking to get offended",1,0
"he looks like reg. memphis,tn. trash! we got them everywhere.",0,2
i likes it back dare. it's free fo me cause whitey pay da fee,1,0
that lil bitch released the exclusive shower photos between niggas.,1,0
slack jawed yokel husband,2,0
becuz no man should celebrate his bday at a drreams,0,2
"rt ""boys are dumb! no faith in boys!!"" bitch shut up youre in high school acting like this is going to be the person you marry.&;",1,0
"""when rappers say twat it makes me feel weird"" &;&;&;&;",2,1
""" you can call me fireman cause i turn the hoes on.""",1,2
"rt ""pussy ass nigga""",1,0
baker planted an m-bo in that bitch. when white guy lights the wick... &;,1,0
rt white trash warfare pt e &;&;&;,0,2
i'm a lil nigga?? wait till you see nigga. you ain't ready. i'm from chicago boy i ain't no pussy from the burbs. just wait,1,0
niggas stay with insides over some hoe shit,1,0
bitch i back shit up fuck nigga,1,0
""" these hoes like niggas that spend money not talk bout it """,1,0
rt ray j is the perfect example of what happens when you give a lame nigga some pussy.,0,1
chippah i hopes you ain't be hangin wit dis wigger boy,1,0
rt blow shit up and get fatter. white trash love this holiday.,1,0
rt lmaoo nigger is scared &; &; so results are supposed to be out today lol lol&;,1,0
"you're an ugly fucking bitch, get off your high horse",1,0
stuffed her like an oreo,1,2
lakers are trash,1,2
"shut up faggot, you and ras need to make an album together, we'll ras fell off, you didn't (cont)",1,0
stfu,0,1
you guys are all faggots.,1,0
butt chug 4lokos or nah,1,0
funny to read retard liberal tweets. but anand u didn't delete salwar tweet. anyway say hi to,1,2
you trash tho rt edgewood basketball court now!!!!,1,2
"' i just feel like my mouthpiece so cold &; i'll give lessons to every niggah that ever got turned down , for the low cost of s24.gg &; hmu .",1,0
"lol, autocorrect is a bitch, but voice recognition is much faster than typing.",1,2
happy columbus day! even likes and !!! what the fuck is wrong with you ? fuckin' ....,0,1
truth is ate yellow snow as a child..,1,2
what a broke niggah gone tell her.,1,0
rt i'm a cool ass nigga lbs..it's rare if a mf don't like me..nigga you either hating or mad cus yo bitch choosing &;&;&;,1,0
my nephew albino albinos have astigmatisms eye spasms partial blindness its not their faults,2,0
rt ceo tells daily show &;mentally retarded&; could work for s2 &;you&;re worth what you&;re worth&;,1,2
"was made by a gay couple. so yes, under a gop world the bird would not have existed since its creators would be in jail for sodomy.",2,0
"they always put gingers in red, yellow, or leopard print.",1,2
"rt not a fob fan nor in the know. but ""fuck you fatty"" is a poor argument for anything after sth&;",1,0
tired of these niggas turning females into stuck up bitches,1,0
"an end to the ordination of women and faggots, whose only aim is to weaken and split our communion.",1,0
these infected ass hoes think its okay to talk to other ppl boyfriend. like that's not funny nor cute to pussy hop all over the place,1,0
i'm already tired and mr stupid af decides to show us a video on trigonometric notions so um yeah i just wanted to say you're a hoe,0,1
small man syndrome usually deep down they're huge pussies so they join the authority to compensate their weak ego,1,0
rt i really need to take my rose colored glasses off though. i gotta stop thinking everybody does shit with good intentions&;,2,1
rt twitter should dump the little blue bird mascot and just officially change it to a set of boobs.,1,2
fuckin moulinyan &;,1,0
oh it's coon bike week in charlotte ok makes sense now,2,0
rt dead!!&;&; &; rt when ur fuckin and her pussy stank but u have really good friends........... ht&;,0,1
so she's retarded?,1,0
ha bitch who angry bitch am taller and older then your fake ass boy stfu your making yourself look like a dumbass pussy boyy!,1,0
so cold ma nig,1,0
don't call my buddy cambron retarded man smh. thats rude.,1,0
can you imagine? ch nks dirty corona fingers on my sushi ?!,0,2
"sir. please go text your mexican bitch, because i'm not finna deal witcho childish ass &;",0,1
rt i) a real nigga would never be hurt and crying over pussy they didn't get for two years. what kinda gay shit is that?,1,0
why hold back? just say they're as retarded as their tits are fake there's no in between...,1,0
shut your legs hoe,0,1
rt if i was obama id call a press conference &amp; slit joe bidens neck on live tv just 2 show these crackers i mean business&;,0,2
rt pussy niggas don't get no pussy nigga,1,0
rt &; dawg! &; pet peeve is finding out a cute guy has hoes. i automatically lose interest. i don't compete.&;,1,2
same niccas tryna be around me .. the same niccas that used to down me!,1,2
"aye, i respect ya hustle and all but dont tweet me anymore trash ass videos...thank u kindly",2,1
somebody tell these pussy niggas i got em,1,0
niger,0,2
shoot that nigga &amp; his shorty bitch &;&;,1,0
well pee is oft yellow.,2,0
and retarded. love is always retarded.,1,0
i eat da pussy better than a lesbian.,1,0
rt &; all of kate upton's leaked nudes today &amp; more &; &;&; bitch lo&;,2,1
negro always falling asleep on me...,1,2
you're gay bitch,1,0
"""they faggots orioles petty as fuck...got swept up outta this bitch""",1,0
i hate black hot beverage,2,0
"james, nobody (save a couple illiterate, inbred teabagger morons) gives a flying fuck about your ""revelations.""",1,0
"gs% of the truly talented people i've come across are retarded professionally. gs% of the awful, untalented people are on point and polite..",1,2
us spy planes are flying over british skies in hunt for jihadi john's assoc's with advanced tech! via,2,0
"rt ""im laughing so hard lay is the un-loyalist of hos"" plea",1,0
rt u a faggot if u heat up leftover pizza,1,0
"rand went full retard some time ago &; isn't ""playing the game""... he's just retarded.",1,0
some of the ice melted in my car cause the dumb fuck at 7/ii decided he wanted to strike up a conversation wit a fat ugly bitch smfh,1,0
"woke up the next morning like ""why in thee fuck did i donate my cheese to these skank hoes"" &;",1,0
ahmed and retard mikey for special olympic boxing,0,2
"he a real nigga tho, that bitch know her place",1,0
technically all the niggas that touched her raped her an when she see she trendin on this bitch she callin the cops lmao,1,0
what is up my twitta niccas!,1,2
thank god fob didnt come back doing some shitty arena tour. sykeeee,1,2
i be waking up on some new shit like fuck that bitch shit,0,1
"""your a queer"". &;&;&;&;",1,0
wyd fag,1,0
iheinz2oi stfu! she thinks your ugly and hard to look at! get the fuck out of chat faggot before i block you oct eoth iam,1,0
rt lmfaoo rt lmfao rt lmao rt you niggers move sooo fast,1,0
rt i say nigger with love,1,0
bitch you old ass mushroom ass bitch looking like a moldy ass toe wobbly raggedy ass vagina face bye,1,0
you got niggas and i got bitches. partynextdoor ain't never lied.,1,0
"""these sour apple bitter bitches, i'm not fuckin wit em""",0,1
no wonder you run nose first for yo real nigger &amp; white devil massah's or any man pointing at another to convince u he is less,1,0
u both sorry to give racist a platform w his trash language dana ur intvw was below kindergarten level,2,0
fuck this fat mexican bitch.,1,0
mixtape sell sole got some bangers!,2,1
rt sometimes i wanna upper cut this bitch but i don't know if she's special ed or not,0,1
yall crazy hoes need jesus lol,0,1
can we not use the word faggots?,1,0
""" bruno fag boy"" you love me.",1,0
rt when you listening to a bitch complaining about a nigga that ain&;t even hers.,1,0
peckerwood,1,2
*makes a wise argument about the accelerated warholian notion of celebrity in the era of vine* *passing teens mock my old wrinkled balls*,1,2
retard alert,1,0
you're saying zebras are goth?,2,0
cowboys fans are cunts? stop the presses!,1,0
nigga madison playing some bitch ass white boys that's going to harvard on law scholarship play crazy,1,0
rt only retards and dads roll lawful good.,2,0
text me u nigglet,1,0
at least after nearly two decades of complete trash they put out atysyc to redeem themselves.,1,2
"""searching"" the incredible story of i white man's quest to find the ingredients necessary to make caribbean jerked chicken in redneck land",1,2
fight that shit say you're on free lunch and they must have the game fucked up cause you're colored like the rest of them,1,0
yu a bitch made nigga,1,0
the little cunt can just die for all i care!,1,0
nigga be safe hoe,1,0
""" i'm not even shy stfu"" kikis mom hi angelique angelique smiles *dips cracker in soup*",1,2
rt jimmy graham is one ugly son of a bitch,1,0
&;&;&;&; nigga doing the duggy on dem dead hoes lol,1,0
&lt;&lt; closet muzzie,2,0
rt &; moma said no pussy cats inside my dog house&; that's what got bro nem locked inside the dog pound !!,2,1
your rhyming is ghetto,1,2
wow what a faggot,1,0
and stop covering yo goddamn face like the kkk. yo yung silly ass co signing for pussy.,1,0
mk hun just textith me,2,0
ayy carlton is a ghetto school now,0,2
damn it be cold fo a colored man,2,0
he's am has no clue,1,2
shut up bitch for i spit on you,0,1
bitch watch ya tone before i drag you to the recycling bin you bitch ass nigga. you gon end up like limewire ol .exe ass nigga,1,0
you're an ugly fat cunt whore. you need to odee,1,0
well done? what a coon.,1,0
"why don't you fuck off, bitch? you know, being an asshole like yourself means your mother is a whore and a transvestite, which means you were born of anal sex. hey guess what? your face sucks balls.",0,1
in san diego niggah!,1,0
nigger*,1,0
"rt i still laugh at maniac being scared of needles,i bet he was crying like a bitch when he got his gay ass tat",1,0
im a twat,2,1
that depression shit trash.,1,2
rt been my main nigguh since digital camera selfies,0,2
some niggas didnt desrve to have that bitch in the first place,1,0
plot twist he is a faggot,1,0
i'm such a retard sometimes.,2,0
some douche cubs redneck cubs fan freaked out asking if bites..... no you bloody berk!!! he's like the&;,2,0
